prophage_contig_name,all_activate_count,stool_activate_count,capsule_activate_count,saliva_activate_count,all_dormant_count,stool_dormant_count,capsule_dormant_count,saliva_dormant_count,all_undetected_count,stool_undetected_count,capsule_undetected_count,saliva_undetected_count,all_active_sample,contig,sample,bin_name,fastani_classification,checkm_marker_lineage,taxonomy,annotated,active
M11_2-k141_8882,0,0,0,0,139,53,85,1,120,5,87,28,"G21_1,G23_1,I1_1,L21_1,M15_2,M17_2,N21_1",NA,NA,NA,NA,NA,NA,no,yes
M12_2-k141_37272,10,1,9,0,203,54,141,8,46,3,22,21,"A23_2,I10_2,I22_2,I8_2,J15_2,K2_2,K6_2,K8_2,M10_2,M6_2",k141_37272,M12_2,M12_2.bin.6,NA,o__Clostridiales (UID1212),o__Clostridiales (UID1212),yes,yes
M13_2-k141_23729,0,0,0,0,252,58,165,29,7,0,7,0,NA,NA,NA,NA,NA,NA,NA,no,no
M13_2-k141_38089,1,0,1,0,247,58,160,29,11,0,11,0,"E3_1,M15_2,M19_2",NA,NA,NA,NA,NA,NA,no,yes
M14_2-k141_63814,6,0,6,0,158,52,101,5,95,6,65,24,"J21_2,K22_2,M10_2,M14_2,M8_2,O4_2",NA,NA,NA,NA,NA,NA,no,yes
M15_2-k141_21154,0,0,0,0,251,58,164,29,8,0,8,0,NA,NA,NA,NA,NA,NA,NA,no,no
M15_2-k141_2726,1,0,1,0,195,58,137,0,63,0,34,29,E3_1,NA,NA,NA,NA,NA,NA,no,yes
M15_2-k141_78835,0,0,0,0,244,58,162,24,15,0,10,5,"M1_2,M5_2,N21_1",k141_78835,M15_2,M15_2.bin.1,NA,f__Lachnospiraceae (UID1256),f__Lachnospiraceae (UID1256),yes,yes
M17_2-k141_7291,0,0,0,0,245,58,162,25,14,0,10,4,NA,NA,NA,NA,NA,NA,NA,no,no
M17_2-k141_84683,0,0,0,0,210,58,145,7,49,0,27,22,"G21_1,I1_1,L21_1,M15_2,M5_2,N21_1,O1_2",NA,NA,NA,NA,NA,NA,no,yes
M18_2-k141_110025,0,0,0,0,153,53,98,2,106,5,74,27,NA,NA,NA,NA,NA,NA,NA,no,yes
M18_2-k141_115970,0,0,0,0,230,58,159,13,29,0,13,16,NA,NA,NA,NA,NA,NA,NA,no,no
M18_2-k141_124219,1,0,1,0,238,58,153,27,20,0,18,2,A10_2,k141_124219,M18_2,M18_2.bin.6,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae,o__Clostridiales (UID1226),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae,yes,yes
M18_2-k141_22374,10,0,10,0,234,58,147,29,15,0,15,0,"J17_2,K14_2,K16_2,K20_2,K22_2,M12_2,M14_2,M18_2,M2_2,M8_2",k141_22374,M18_2,M18_2.bin.2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B vulgatus,o__Bacteroidales (UID2654),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B vulgatus,yes,yes
M18_2-k141_6036,5,1,4,0,196,56,133,7,58,1,35,22,"C3_2,K16_2,K22_2,M18_2,M6_2",NA,NA,NA,NA,NA,NA,no,yes
M19_2-k141_17184,0,0,0,0,250,58,163,29,9,0,9,0,NA,k141_17184,M19_2,M19_2.bin.23,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__,o__Clostridiales (UID1226),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__,yes,no
M19_2-k141_73657,1,0,1,0,242,58,156,28,16,0,15,1,G1_1,NA,NA,NA,NA,NA,NA,no,yes
M1_1-k141_15338,0,0,0,0,239,58,152,29,20,0,20,0,NA,NA,NA,NA,NA,NA,NA,no,no
M1_1-k141_8847,0,0,0,0,258,58,171,29,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,no,no
M21_2-k141_113863,2,0,2,0,203,58,121,24,54,0,49,5,"E13_1,E3_1,G21_1,G23_1,I1_1,I5_1,M23_2",NA,NA,NA,NA,NA,NA,no,yes
M21_2-k141_121315,0,0,0,0,194,58,135,1,65,0,37,28,I1_1,NA,NA,NA,NA,NA,NA,no,yes
M21_2-k141_125554,0,0,0,0,215,58,149,8,44,0,23,21,NA,NA,NA,NA,NA,NA,NA,no,no
M21_2-k141_155001,0,0,0,0,245,58,158,29,14,0,14,0,NA,k141_155001,M21_2,M21_2.bin.31,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus,f__Lachnospiraceae (UID1255),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus,yes,no
M21_2-k141_2123,0,0,0,0,251,58,165,28,8,0,7,1,"I1_1,M23_2,N21_1",k141_2123,M21_2,M21_2.bin.17,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,yes
M21_2-k141_27243,1,0,1,0,250,58,163,29,8,0,8,0,D21_2,NA,NA,NA,NA,NA,NA,no,yes
M21_2-k141_34225,0,0,0,0,167,56,110,1,92,2,62,28,NA,NA,NA,NA,NA,NA,NA,no,yes
M21_2-k141_43422,0,0,0,0,233,58,155,20,26,0,17,9,NA,NA,NA,NA,NA,NA,NA,no,yes
M21_2-k141_75208,0,0,0,0,221,58,156,7,38,0,16,22,"L21_1,M15_2,M5_2,N21_1,O1_2",NA,NA,NA,NA,NA,NA,no,yes
M21_2-k141_98392,0,0,0,0,245,58,160,27,14,0,12,2,NA,k141_98392,M21_2,M21_2.bin.42,NA,f__Lachnospiraceae (UID1256),f__Lachnospiraceae (UID1256),yes,no
M23_2-k141_110216,2,2,0,0,240,56,157,27,17,0,15,2,"C21_1,C23_1,L21_1,M13_2,M5_2,M9_2",NA,NA,NA,NA,NA,NA,no,yes
M23_2-k141_129182,9,2,7,0,71,19,49,3,179,37,116,26,"D17_2,F3_2,G13_2,G1_2,O11_2,O13_2,O19_2,O21_2,O23_2",NA,NA,NA,NA,NA,NA,no,yes
M23_2-k141_72190,0,0,0,0,230,58,163,9,29,0,9,20,NA,NA,NA,NA,NA,NA,NA,no,no
M2_2-k141_16461,2,0,2,0,199,50,120,29,58,8,50,0,"K22_2,M14_2",k141_16461,M2_2,M2_2.bin.27,NA,c__Deltaproteobacteria (UID3218),c__Deltaproteobacteria (UID3218),yes,yes
M2_2-k141_25861,5,1,4,0,151,46,101,4,103,11,67,25,"C5_2,K14_2,M12_2,M14_2,M2_2",NA,NA,NA,NA,NA,NA,no,yes
M5_1-k141_143,0,0,0,0,227,56,144,27,32,2,28,2,NA,NA,NA,NA,NA,NA,NA,no,no
M5_1-k141_263,0,0,0,0,219,57,142,20,40,1,30,9,NA,NA,NA,NA,NA,NA,NA,no,no
M5_1-k141_343,0,0,0,0,180,46,111,23,79,12,61,6,NA,NA,NA,NA,NA,NA,NA,no,no
M5_2-k141_35300,0,0,0,0,213,58,153,2,46,0,19,27,NA,NA,NA,NA,NA,NA,NA,no,no
M5_2-k141_46405,0,0,0,0,190,54,132,4,69,4,40,25,"G21_1,N21_1",k141_46405,M5_2,M5_2.bin.7,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825,yes,yes
M5_2-k141_4738,0,0,0,0,133,30,99,4,126,28,73,25,"G21_1,G23_1,I1_1,I5_1,N21_1",k141_4738,M5_2,M5_2.bin.45,NA,k__Bacteria (UID2372),k__Bacteria (UID2372),yes,yes
M5_2-k141_70993,0,0,0,0,248,58,161,29,11,0,11,0,"I1_1,N21_1",NA,NA,NA,NA,NA,NA,no,yes
M6_2-k141_107833,2,0,2,0,242,58,158,26,15,0,12,3,"J17_2,M14_2",NA,NA,NA,NA,NA,NA,no,yes
M6_2-k141_140305,0,0,0,0,215,55,135,25,44,3,37,4,NA,NA,NA,NA,NA,NA,NA,no,no
M6_2-k141_82101,0,0,0,0,246,55,164,27,13,3,8,2,NA,k141_82101,M6_2,M6_2.bin.31,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__,c__Deltaproteobacteria (UID3218),d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__,yes,no
M7_2-k141_114543,0,0,0,0,202,54,148,0,57,4,24,29,NA,NA,NA,NA,NA,NA,NA,no,no
M7_2-k141_180309,2,0,2,0,187,55,119,13,70,3,51,16,"I15_1,I21_1,L21_1",NA,NA,NA,NA,NA,NA,no,yes
M7_2-k141_204584,2,1,1,0,197,56,133,8,60,1,38,21,"C11_1,E3_1,G15_1,G19_1,G21_1,I1_1,I5_1,M15_2,M1_2,N21_1",NA,NA,NA,NA,NA,NA,no,yes
M7_2-k141_32906,0,0,0,0,187,58,128,1,72,0,44,28,NA,NA,NA,NA,NA,NA,NA,no,yes
M7_2-k141_95976,0,0,0,0,154,53,98,3,105,5,74,26,"L21_1,M5_2",NA,NA,NA,NA,NA,NA,no,yes
M8_2-k141_31137,2,0,2,0,224,54,141,29,33,4,29,0,"K22_2,M14_2",k141_31137,M8_2,M8_2.bin.36,NA,c__Deltaproteobacteria (UID3218),c__Deltaproteobacteria (UID3218),yes,yes
M8_2-k141_57839,0,0,0,0,259,58,172,29,0,0,0,0,NA,k141_57839,M8_2,M8_2.bin.44,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__CAG-274;s__CAG-274 sp000432155,o__Clostridiales (UID1212),d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__CAG-274;s__CAG-274 sp000432155,yes,no
M8_2-k141_59018,1,0,1,0,194,58,136,0,64,0,35,29,M10_2,k141_59018,M8_2,M8_2.bin.47,NA,o__Clostridiales (UID1226),o__Clostridiales (UID1226),yes,yes
M8_2-k141_8729,0,0,0,0,239,58,152,29,20,0,20,0,NA,k141_8729,M8_2,M8_2.bin.48,NA,k__Bacteria (UID2372),k__Bacteria (UID2372),yes,no
